product_id,name,category,price
1,Skill High,Books,115.77
2,Party Medical,Books,278.65
3,Others Least,Clothing,143.84
4,Trouble Evening,Electronics,678.32
5,Production Rich,Sports,91.5
6,Maybe Rule,Toys,36.62
7,Television Call,Electronics,222.54
8,Hour Music,Sports,604.01
9,Significant Parent,Sports,202.84
10,Adult Through,Books,702.82
11,Event Commercial,Toys,224.34
12,Party Article,Sports,281.8
13,Child Front,Beauty,11.47
14,Main Unit,Beauty,163.86
15,Room Central,Toys,343.55
16,Heavy Common,Clothing,219.24
17,Argue Explain,Beauty,339.91
18,Herself Kind,Electronics,383.03
19,Provide Which,Home,848.26
20,Heart Anything,Sports,268.2
21,Figure Film,Electronics,731.08
22,Next Purpose,Sports,129.2
23,Would Ball,Toys,83.41
24,My Daughter,Home,830.26
25,Space Production,Sports,886.02
26,Cover Southern,Home,579.47
27,Between Place,Books,74.21
28,Soldier Computer,Books,231.76
29,Of Future,Home,985.3
30,Turn Four,Beauty,236.63
31,The Through,Electronics,383.23
32,Reveal Such,Toys,637.51
33,Fish Experience,Home,166.84
34,Reveal Save,Home,213.46
35,Rise Him,Home,703.31
36,Big Nor,Books,649.8
37,Particularly He,Sports,636.8
38,Than Charge,Sports,730.48
39,Add Certain,Clothing,464.95
40,National Father,Home,989.58
41,Hotel Start,Books,689.72
42,Memory Its,Clothing,686.19
43,Grow Will,Beauty,769.47
44,Whether Commercial,Electronics,232.9
45,Blue Discover,Electronics,806.02
46,Clear Most,Toys,271.4
47,Do Theory,Clothing,913.57
48,Cup Stuff,Sports,876.99
49,Watch Operation,Home,216.56
50,Positive Road,Toys,398.65
51,Theory Never,Books,461.56
52,Throughout Night,Home,143.93
53,Seem Ok,Books,563.56
54,Scientist Something,Home,748.28
55,Suffer Build,Toys,898.33
56,Key Magazine,Toys,365.19
57,Whom Ball,Clothing,511.98
58,But Tell,Electronics,757.0
59,Catch Wind,Beauty,114.1
60,Adult Media,Books,164.18
61,Happen Forget,Books,425.05
62,Rock Him,Electronics,387.84
63,Chair Technology,Sports,996.14
64,Letter Voice,Sports,255.16
65,Picture Necessary,Sports,861.48
66,Source Guess,Electronics,681.88
67,Consider Security,Electronics,683.3
68,Fly Air,Sports,752.12
69,Size Teacher,Beauty,642.76
70,By Doctor,Electronics,297.03
71,Career Tough,Clothing,456.46
72,Rule Change,Books,876.47
73,Rise Dream,Home,972.03
74,Food Car,Beauty,182.76
75,Determine Case,Electronics,871.17
76,Bar Large,Home,842.46
77,Rock Source,Sports,610.93
78,Step Brother,Clothing,377.04
79,Bank After,Clothing,541.68
80,Stage Member,Beauty,922.82
81,Sometimes Lawyer,Electronics,600.95
82,And Debate,Toys,24.38
83,Box Alone,Home,879.33
84,Student Receive,Beauty,807.74
85,Must Personal,Clothing,62.64
86,Artist Manager,Sports,947.21
87,By When,Electronics,733.25
88,Environment Animal,Beauty,73.87
89,Attorney Fish,Beauty,535.04
90,Region Action,Clothing,132.75
91,Somebody Big,Toys,947.11
92,Stay Candidate,Clothing,268.73
93,Wife Play,Beauty,608.56
94,Describe People,Clothing,929.27
95,Wear Decision,Beauty,731.28
96,Crime Religious,Clothing,714.38
97,Have Air,Toys,995.17
98,Believe Child,Books,376.55
99,Throughout Skin,Sports,454.23
100,Year Fall,Clothing,228.57
101,Particularly Happen,Home,25.93
102,He College,Sports,233.96
103,Top Month,Clothing,12.15
104,Statement Shoulder,Books,632.95
105,Position Effort,Clothing,72.06
106,Mouth Over,Electronics,860.34
107,Author Bit,Electronics,516.59
108,Ten Particular,Home,670.63
109,Source Address,Clothing,541.54
110,Newspaper Director,Books,935.84
111,Senior Dark,Sports,578.33
112,Father Congress,Clothing,785.7
113,Week Somebody,Beauty,410.02
114,Note Above,Electronics,101.45
115,Share Bit,Toys,357.53
116,Window Difficult,Toys,469.69
117,Wife Mother,Books,58.9
